ListingKey,Status,URL,Message,Timestamp
3yd-SANDICOR-180012266,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=656992&listing=180012266,Successfully imported,
3yd-SANDICOR-180013462,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=656743&listing=180013462,Successfully imported,
3yd-SANDICOR-180019495,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=656992&listing=180019495,Successfully imported,
3yd-SANDICOR-180022930,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=2080&listing=180022930,Successfully imported,
3yd-SANDICOR-180025668,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=2080&listing=180025668,Successfully imported,
3yd-SANDICOR-180025810,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=2080&listing=180025810,Successfully imported,
3yd-SANDICOR-180026444,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=2080&listing=180026444,Successfully imported,
3yd-SANDICOR-180026741,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=1324&listing=180026741,Successfully imported,
3yd-SANDICOR-180026956,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=2080&listing=180026956,Successfully imported,
3yd-SANDICOR-170057741,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=630366&listing=170057741,Successfully imported,
3yd-SANDICOR-180015719,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=641619&listing=180015719,Successfully imported,
3yd-SANDICOR-180021347,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=648656&listing=180021347,Successfully imported,
3yd-SANDICOR-180025135,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=648656&listing=180025135,Successfully imported,
3yd-SANDICOR-180025846,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=628705&listing=180025846,Successfully imported,
3yd-SANDICOR-180026915,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=648656&listing=180026915,Successfully imported,
3yd-SANDICOR-170037863,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809640&listing=170037863,Successfully imported,
3yd-SANDICOR-180021763,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809621&listing=180021763,Successfully imported,
